method	uri	name	middleware
POST	admin/inventory/adjust	admin.inventory.adjust	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.adjust
POST	admin/inventory/intake	admin.inventory.intake	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.intake
GET|HEAD	admin/inventory/movements	admin.inventory.movements	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.movements.view
POST	admin/inventory/transfer	admin.inventory.transfer	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.transfer
GET|HEAD	admin/lisa/audit	admin.insights.chat.audit	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:lisa.audit.view
GET|HEAD	admin/lisa/audit/{conversation}	admin.insights.chat.audit.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:lisa.audit.view
GET|HEAD	admin/lisa/chat	admin.insights.chat.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:lisa.chat
POST	admin/lisa/chat	admin.insights.chat.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:lisa.chat
GET|HEAD	admin/lisa/chat/{conversation}	admin.insights.chat.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:lisa.chat
POST	admin/lisa/chat/{conversation}/message	admin.insights.chat.message	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:lisa.chat
GET|HEAD	admin/operations/alert-recipients	admin.operations.alert-recipients.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:alerts.manage-recipients
POST	admin/operations/alert-recipients	admin.operations.alert-recipients.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:alerts.manage-recipients
PATCH	admin/operations/alert-recipients/{recipient}/toggle	admin.operations.alert-recipients.toggle	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:alerts.manage-recipients
GET|HEAD	admin/operations/backups	admin.operations.backups.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:backups.view
POST	admin/operations/backups	admin.operations.backups.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:backups.create
POST	admin/operations/backups/{backupRun}/verify	admin.operations.backups.verify	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:backups.verify
PATCH	admin/operations/notifications/{notification}/read	admin.operations.notifications.read	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:alerts.view
GET|HEAD	admin/operations/settings	admin.operations.settings.edit	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:settings.business.manage
PATCH	admin/operations/settings	admin.operations.settings.update	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:settings.business.manage
GET|HEAD	admin/operations/{operation}	admin.operations.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope
GET|HEAD	admin/payment-methods	admin.payment-methods.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:payment-methods.view
POST	admin/payment-methods	admin.payment-methods.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:payment-methods.manage
PATCH	admin/payment-methods/{method}/default	admin.payment-methods.default	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:payment-methods.manage
PATCH	admin/payment-methods/{method}/toggle	admin.payment-methods.toggle	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:payment-methods.manage
GET|HEAD	admin/pos	admin.pos.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
POST	admin/pos/sales/{sale}/print	admin.pos.print	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:documents.sales.print
POST	admin/pos/shifts/{shift}/cash	admin.pos.cash	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
POST	admin/pos/shifts/{shift}/close	admin.pos.close	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
POST	admin/pos/shifts/{shift}/complete	admin.pos.complete	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
POST	admin/pos/shifts/{shift}/held/{heldSale}/resume	admin.pos.resume	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
POST	admin/pos/shifts/{shift}/hold	admin.pos.hold	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
POST	admin/pos/terminals/{terminal}/open	admin.pos.open	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
GET|HEAD	admin/procurement/enterprise	admin.procurement.enterprise.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.requisitions.view
POST	admin/procurement/enterprise/orders/{order}/receive	admin.procurement.enterprise.orders.receive	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.receipts.create
POST	admin/procurement/enterprise/receipts/{receipt}/landed-cost	admin.procurement.enterprise.receipts.landed-cost	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.landed-cost.manage
POST	admin/procurement/enterprise/requisitions	admin.procurement.enterprise.requisitions.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.requisitions.create
POST	admin/procurement/enterprise/requisitions/{requisition}/approve	admin.procurement.enterprise.requisitions.approve	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.requisitions.approve
POST	admin/procurement/enterprise/requisitions/{requisition}/convert	admin.procurement.enterprise.requisitions.convert	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.requisitions.approve
GET|HEAD	admin/procurement/orders	admin.procurement.orders.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.view
POST	admin/procurement/orders	admin.procurement.orders.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.create
PATCH	admin/procurement/orders/{order}/approve	admin.procurement.orders.approve	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.approve
POST	admin/procurement/orders/{order}/receive	admin.procurement.orders.receive	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:procurement.receive
GET|HEAD	admin/products/{product}/activity	admin.products.activity	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:activity.products.view
GET|HEAD	admin/reports	admin.reports.hub	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.hub.view
GET|HEAD	admin/reports/exports/low-stock	admin.reports.exports.low-stock	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.export
GET|HEAD	admin/reports/exports/sales	admin.reports.exports.sales	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.export
GET|HEAD	admin/reports/exports/staff	admin.reports.exports.staff	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.export
GET|HEAD	admin/reports/low-stock	admin.reports.low-stock	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.low-stock
GET|HEAD	admin/reports/staff-performance	admin.reports.staff-performance	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.staff-performance
POST	admin/reports/staff-performance/announcement	admin.reports.staff-performance.announcement	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.staff-performance
GET|HEAD	admin/reports/supplier-balances	admin.reports.supplier-balances	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:reports.supplier-balances
GET|HEAD	admin/roles	admin.roles.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:roles.view
POST	admin/roles	admin.roles.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:roles.create
GET|HEAD	admin/sales	admin.sales.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequireAnyPermission:sales.view,sales.view.own,sales.view.all
POST	admin/sales	admin.sales.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
GET|HEAD	admin/sales/create	admin.sales.create	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.create
GET|HEAD	admin/sales/export	admin.sales.export	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.export
POST	admin/sales/quotes/{quote}/convert	admin.sales.quotes.convert	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:quotes.convert,App\Http\Middleware\EnsureSaleVisibility
GET|HEAD	admin/sales/workflows	admin.sales.workflows.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.view
GET|HEAD	admin/sales/workflows/export	admin.sales.workflows.export	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.export
POST	admin/sales/workflows/{sale}/convert	admin.sales.workflows.convert	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.edit
POST	admin/sales/workflows/{sale}/deliver	admin.sales.workflows.deliver	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.edit
GET|HEAD	admin/sales/{sale}	admin.sales.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequireAnyPermission:sales.view,sales.view.own,sales.view.all,App\Http\Middleware\EnsureSaleVisibility
PUT	admin/sales/{sale}	admin.sales.update	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.edit,App\Http\Middleware\EnsureSaleVisibility
GET|HEAD	admin/sales/{sale}/edit	admin.sales.edit	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.edit,App\Http\Middleware\EnsureSaleVisibility
POST	admin/sales/{sale}/payments	admin.sales.payments.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.payments.record,App\Http\Middleware\EnsureSaleVisibility
POST	admin/sales/{sale}/void	admin.sales.void	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:sales.void,App\Http\Middleware\EnsureSaleVisibility
GET|HEAD	admin/security/sessions	admin.security.sessions.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:security.sessions.view
DELETE	admin/security/sessions/{session}	admin.security.sessions.destroy	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:security.sessions.terminate
PATCH	admin/security/sessions/{session}/revoke	admin.security.sessions.revoke	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.sessions.revoke
GET|HEAD	admin/staff	admin.staff.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.view
POST	admin/staff	admin.staff.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.create
POST	admin/staff/{account}/access-key/reveal	admin.staff.access-key.reveal	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.access-key.reveal
PATCH	admin/staff/{account}/suspend	admin.staff.suspend	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:staff.suspend
GET|HEAD	admin/supplier-finance/bills	admin.supplier-finance.bills.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:supplier-bills.view
POST	admin/supplier-finance/bills	admin.supplier-finance.bills.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:supplier-bills.create
GET|HEAD	admin/supplier-finance/bills/{bill}	admin.supplier-finance.bills.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:supplier-bills.view
GET|HEAD	admin/supplier-finance/bills/{bill}/documents/{document}	admin.supplier-finance.bills.documents.download	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:supplier-documents.download
POST	admin/supplier-finance/bills/{bill}/payments	admin.supplier-finance.bills.payments.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:supplier-bills.pay
GET|HEAD	admin/supplier-finance/returns	admin.supplier-finance.returns.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:supplier-returns.view
POST	admin/supplier-finance/returns	admin.supplier-finance.returns.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:supplier-returns.create
GET|HEAD	admin/warehouses	admin.warehouses.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:warehouses.view
POST	admin/warehouses	admin.warehouses.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:warehouses.manage
POST	admin/warehouses/condition	admin.warehouses.condition	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:warehouses.operate
POST	admin/warehouses/count	admin.warehouses.count	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.counts.manage
POST	admin/warehouses/reservations/{reservation}/release	admin.warehouses.reservations.release	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.reservations.manage
POST	admin/warehouses/reserve	admin.warehouses.reserve	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:inventory.reservations.manage
POST	admin/warehouses/transfer	admin.warehouses.transfer	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:warehouses.operate
GET|HEAD	catalog/products/lookup	catalog.products.lookup	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity
GET|HEAD	cron/{secret}/end-of-day-digest	cron.end-of-day-digest	web
GET|HEAD	livewire-8cca5c8a/css/{component}.css	(none)	(none)
GET|HEAD	livewire-8cca5c8a/css/{component}.global.css	(none)	(none)
GET|HEAD	livewire-8cca5c8a/js/{component}.js	(none)	(none)
GET|HEAD	livewire-8cca5c8a/livewire.csp.min.js.map	(none)	(none)
GET|HEAD	livewire-8cca5c8a/livewire.js	(none)	(none)
GET|HEAD	livewire-8cca5c8a/livewire.min.js.map	(none)	(none)
GET|HEAD	livewire-8cca5c8a/preview-file/{filename}	livewire.preview-file	web
POST	livewire-8cca5c8a/update	default-livewire.update	web,Livewire\Mechanisms\HandleRequests\RequireLivewireHeaders
POST	livewire-8cca5c8a/upload-file	livewire.upload-file	web,Illuminate\Routing\Middleware\ThrottleRequests:60,1
POST	login	login.store	web,Illuminate\Auth\Middleware\RedirectIfAuthenticated,Illuminate\Routing\Middleware\ThrottleRequests:10,1
GET|HEAD	login/staff-search	login.staff-search	web,Illuminate\Auth\Middleware\RedirectIfAuthenticated,Illuminate\Routing\Middleware\ThrottleRequests:30,1
POST	logout	logout	web,Illuminate\Auth\Middleware\Authenticate
PATCH	staff/announcements/{announcement}/dismiss	staff.announcements.dismiss	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:dashboard.staff.view
GET|HEAD	staff/dashboard	staff.dashboard	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:dashboard.staff.view
GET|HEAD	staff/operations/{operation}	staff.operations.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope
GET|HEAD	staff/profile	staff.profile.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope
PATCH	staff/profile/picture	staff.profile.picture.update	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope
