method	uri	name	middleware
POST	admin/accounting/enterprise/bank-statements	admin.accounting.enterprise.bank-statements.import	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.bank-reconcile
POST	admin/accounting/enterprise/bank-statements/{statement}/finalize	admin.accounting.enterprise.bank-statements.finalize	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.bank-reconcile
POST	admin/accounting/enterprise/periods/{period}/close	admin.accounting.enterprise.periods.close	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.close
POST	admin/accounting/enterprise/treasury/transfers	admin.accounting.enterprise.treasury.transfer	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.treasury.manage
GET|HEAD	admin/accounting/journal-entries	admin.accounting.journal-entries.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.view
POST	admin/accounting/journal-entries	admin.accounting.journal-entries.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.manage
GET|HEAD	admin/accounting/journal-entries/create	admin.accounting.journal-entries.create	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.manage
GET|HEAD	admin/accounting/journal-entries/{journalEntry}	admin.accounting.journal-entries.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.view
PATCH	admin/accounting/journal-entries/{journalEntry}	admin.accounting.journal-entries.update	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.manage
GET|HEAD	admin/accounting/journal-entries/{journalEntry}/edit	admin.accounting.journal-entries.edit	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.manage
POST	admin/accounting/opening-balance	admin.accounting.opening-balance.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.manage
GET|HEAD	admin/accounting/opening-balance/create	admin.accounting.opening-balance.create	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.journals.manage
GET|HEAD	admin/accounting/reports	admin.accounting.reports.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.reports.view
GET|HEAD	admin/accounting/reports/export	admin.accounting.reports.export	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:accounting.reports.export
GET|HEAD	admin/activity	admin.activity.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:activity.view
GET|HEAD	admin/activity-log	admin.activity-log.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:activity.view
GET|HEAD	admin/branches	admin.branches.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:branches.view
POST	admin/branches	admin.branches.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:branches.create
PATCH	admin/branches/{branch}/deactivate	admin.branches.deactivate	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:branches.deactivate
